"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2019",27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/02/2019",17,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/03/2019",15,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/04/2019",20,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/05/2019",34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/06/2019",34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/07/2019",27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/08/2019",35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/09/2019",35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/10/2019",28,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/11/2019",27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/12/2019",25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/13/2019",31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/14/2019",27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/15/2019",33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/16/2019",35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/17/2019",24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/18/2019",16,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/19/2019",29,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/20/2019",37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/21/2019",36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/23/2019",21,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/24/2019",30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/25/2019",36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/26/2019",38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/27/2019",33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/28/2019",38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/29/2019",35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/30/2019",39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"01/31/2019",33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"02/01/2019",30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"02/02/2019",37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"02/03/2019",42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"02/04/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"02/05/2019",33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"02/06/2019",24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"02/07/2019",33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"02/08/2019",40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"02/09/2019",38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"02/10/2019",32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"02/11/2019",20,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"02/12/2019",23,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"02/13/2019",43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"02/14/2019",39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"02/15/2019",36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"02/16/2019",35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"02/17/2019",32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"02/18/2019",35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"02/21/2019",24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"02/22/2019",32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"02/23/2019",32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"02/24/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"02/25/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"02/26/2019",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"02/27/2019",23,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
