"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/03/2019",7,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"01/06/2019",4,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"01/09/2019",5,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"01/12/2019",26,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"01/15/2019",11,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"01/18/2019",5,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"01/21/2019",6,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"01/24/2019",6,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"01/27/2019",15,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"01/30/2019",7,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"02/02/2019",14,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"02/05/2019",20,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"02/08/2019",8,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"02/11/2019",10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"02/14/2019",8,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"02/17/2019",10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"02/20/2019",3,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"02/23/2019",1,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"02/26/2019",11,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"01/03/2019",11,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/09/2019",6,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/15/2019",15,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/21/2019",18,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"01/27/2019",58,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/02/2019",44,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/08/2019",13,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/14/2019",24,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/20/2019",9,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"02/26/2019",36,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/04/2019",21,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/10/2019",18,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/16/2019",13,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/22/2019",16,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"03/28/2019",30,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"04/09/2019",13,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
